BernalilloCountyS,OteroCountyM,EddyCountyS,McKinleyCountyS,McKinleyCountyM,OteroCountyS,EddyCountyM,date,BernalilloCountyM,ChavesCountyM,ChavesCountyS
,,,,67 new cases in McKinley County,1 new case in Otero County,,"Apr 24, 2020",25 new cases in Bernalillo County,,
,,,,,,,"Apr 24, 2020",,,
,,,,69 new cases in McKinley County,,,"Apr 25, 2020",19 new cases in Bernalillo County,,
,,,,,,,"Apr 25, 2020",,,
,,,,12 new cases in McKinley County,,2 new cases in Eddy County,"Apr 26, 2020",18 new cases in Bernalillo County,,
,,,,,,,"Apr 26, 2020",,,
,,,,,,,"Apr 27, 2020",,,
,,,,,,,"Apr 27, 2020",,,
,,,,58 new cases in McKinley County,,,"Apr 27, 2020",8 new cases in Bernalillo County,,
,,,,,,,"Apr 27, 2020",,,
,,,,,,,"Apr 15, 2020",,,
,,,,,,,"Apr 15, 2020",,,
,,,,,,,"Apr 15, 2020",,,
,,,,,,,"Apr 15, 2020",,,
,,,,23 new cases in McKinley County,,,"Apr 16, 2020",17 new cases in Bernalillo County,,
,,,,,,,"Apr 16, 2020",,,
,,,,38 new cases in McKinley County,,,"Apr 15, 2020",13 new cases in Bernalillo County,,
,,,,,,,"Apr 15, 2020",,,
,,,,,,,,,,
,,,,51 new cases in McKinley County,,2 new cases in Eddy County,"Apr 17, 2020",24 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Apr 17, 2020",,,
,,,,,,,"Apr 17, 2020",,,
,,,,,,,"Apr 17, 2020",,,
,,,,40 new cases in McKinley County,,,"Apr 18, 2020",13 new cases in Bernalillo County,,
,,,,,,,"Apr 18, 2020",,,
,,,,7 new cases in McKinley County,,,"Apr 19, 2020",15 new cases in Bernalillo County,,
,,,,,,,"Apr 19, 2020",,,
,,,,,,,"Apr 20, 2020",,,
,,,,,,,"Apr 20, 2020",,,
,,1 new case in Eddy County,,53 new cases in McKinley County,,,"Apr 20, 2020",24 new cases in Bernalillo County,,
,,,,,,,"Apr 20, 2020",,,
,,,,,,,"Apr 9, 2020",,,
,,,,,,,"Apr 9, 2020",,,
,,,,13 new cases in McKinley County,,,"Apr 9, 2020",45 new cases in Bernalillo County,2 new cases in Chaves County,
,,,,,,,"Apr 9, 2020",,,
,,,,29 new cases in McKinley County,,,"Apr 10, 2020",38 new cases in Bernalillo County,,
,,,,,,,"Apr 10, 2020",,,
,,,,,,,,,,
,,,,,,,"Apr 10, 2020",,,
,,,,,,,"Apr 10, 2020",,,
,,,,27 new cases in McKinley County,,,"Apr 11, 2020",17 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Apr 11, 2020",,,
,,,,,,,"Apr 11, 2020",,,
,,,,,,,"Apr 11, 2020",,,
,,1 new case in Eddy County,,4 new cases in McKinley County,1 new case in Otero County,,"Apr 12, 2020",18 new cases in Bernalillo County,,
,,,,,,,"Apr 12, 2020",,,
,,,,48 new cases in McKinley County,,,"Apr 13, 2020",15 new cases in Bernalillo County,,
,,,,,,,"Apr 13, 2020",,,
,,,,,,,"Apr 14, 2020",,,
,,,,,,,"Apr 14, 2020",,,
,,,,13 new cases in McKinley County,,,"Apr 14, 2020",9 new cases in Bernalillo County,,
,,,,,,,"Apr 14, 2020",,,
,,,,9 new cases in McKinley County,1 new case in Otero County,,"Apr 5, 2020",21 new cases in Bernalillo County,,
,,,,,,,"Apr 5, 2020",,,
,,,,4 new cases in McKinley County,,,"Apr 2, 2020",15 new cases in Bernalillo County,3 new cases in Chaves County,
,,,,,,,"Apr 2, 2020",,,
,,,,8 new cases in McKinley County,,,"Apr 3, 2020",39 new cases in Bernalillo County,,
,,,,,,,"Apr 3, 2020",,,
,,,,4 new cases in McKinley County,,,"Apr 6, 2020",16 new cases in Bernalillo County,,1 new case in Chaves County
,,,,,,,"Apr 6, 2020",,,
,,,1 new case in McKinley County,,,,"Apr 4, 2020",23 new cases in Bernalillo County,,
,,,,,,,"Apr 4, 2020",,,
,,,,,,,,,,
