date,newCases
"Apr 12, 2020","18 new cases in Bernalillo County,1 new case in Curry County,1 new case in Doña Ana County,1 new case in Eddy County,1 new case in Grant County,1 new case in Los Alamos County,4 new cases in McKinley County,1 new case in Otero County,38 new cases in Sandoval County,2 new cases in San Juan County,1 new case in Santa Fe County,1 new case in Socorro County,1 new case in Torrance County,3 new cases in Valencia County"
,
"Apr 1, 2020","19 new cases in Bernalillo County,1 new case in Catron County,2 new cases in Cibola County,2 new cases in Curry County,3 new cases in Doña Ana County,1 new case in Grant County,4 new cases in McKinley County,1 new case in Otero County,3 new cases in Sandoval County,5 new cases in San Juan County,6 new cases in Santa Fe County,1 new case in Taos County"
,
"Apr 1, 2020",
,
"Mar 31, 2020","12 new cases in Bernalillo County,4 new cases in McKinley County,1 new case in Rio Arriba County,6 new cases in San Juan County,7 new cases in Sandoval County,4 new cases in Santa Fe County,1 new case in Taos County"
,
"Apr 4, 2020","23 new cases in Bernalillo County,4 new cases in Cibola County,1 new case in Lincoln County,1 new case in Los Alamos County,1 new case in McKinley County,1 new case in Rio Arriba County,2 new cases in Sandoval County,9 new cases in San Juan County,6 new cases in Santa Fe County,3 new cases in Torrance County"
,
"Apr 5, 2020","21 new cases in Bernalillo County,2 new cases in Cibola County,6 new cases in Doña Ana County,1 new case in Los Alamos County,9 new cases in McKinley County,1 new case in Otero County,34 new cases in Sandoval County,4 new cases in Santa Fe County,1 new case in Socorro County,2 new cases in Valencia County"
,
,
"Apr 3, 2020","39 new cases in Bernalillo County,3 new case in Cibola County,1 new case in Doña Ana County,8 new cases in McKinley County,26 new cases in Sandoval County,9 new cases in San Juan County,4 new cases in Santa Fe County,2 new cases counties not yet identified"
,
"Apr 2, 2020","15 new cases in Bernalillo County,3 new cases in Chaves County,1 new case in Cibola County,1 new case in Curry County,1 new case in Doña Ana County,4 new cases in McKinley County,1 new case in Rio Arriba County,8 new cases in Sandoval County,4 new cases in San Juan County,1 new case in Socorro County,1 new case in Taos County"
,
"Apr 6, 2020","16 new cases in Bernalillo County,1 new case in Chaves County,1 new case in Doña Ana County,2 new cases in Grant County,4 new cases in McKinley County,25 new cases in San Juan County,11 new cases in Sandoval County,2 new cases in Santa Fe County"
,
"Apr 7, 2020",
,
"Apr 6, 2020",
,
"Mar 27, 2020",
,
"Mar 27, 2020"," 27 new cases in Bernalillo County, 1 new case in Cibola County, 1 new case in Eddy County, 1 new case in Lea County, 2 new cases in McKinley County, 1 new case in Rio Arriba County, 1 new case in Roosevelt County, 5 new cases in Sandoval County, 3 new cases in San Juan County, 7 new cases in Santa Fe County, 5 new cases in Taos County, 1 new case in Valencia County"
,
"Mar 27, 2020",
,
"Mar 27, 2020",
,
"Mar 27, 2020",
,
"Mar 28, 2020","11 new cases in Bernalillo County,3 new cases in Chaves County,1 new case in Doña Ana County ,1 new case in Eddy County,1 new case in San Juan County "
,
"Mar 29, 2020",
,
,
"Mar 29, 2020","9 new cases in Bernalillo County,1 new case in Chaves County,2 new cases in Curry County,1 new case in Eddy County,4 new cases in McKinley County,4 new cases in San Juan County,3 new cases in Sandoval County,4 new cases in Santa Fe County,1 new case in Valencia County"
,
"Mar 30, 2020","16 new cases in Bernalillo County,2 new cases in Chaves County,1 new case in Doña Ana County,3 new cases in McKinley County,1 new case in Rio Arriba County,5 new cases in Sandoval County,5 new cases in San Juan County,3 new cases in Santa Fe County,1 new case in Socorro County,1 new case in Taos County,3 new cases in Torrance County,3 new cases in Valencia County"
,
"Mar 31, 2020",
,
"Mar 23, 2020",
,
"Mar 23, 2020",
,
"Mar 24, 2020",
,
"Mar 22, 2020",
,
"Mar 25, 2020",
,
"Mar 23, 2020",
,
,
"Mar 25, 2020",
,
"Mar 25, 2020",
,
"Mar 26, 2020",
,
"Mar 26, 2020",
,
"Mar 18, 2020",
,
"Mar 18, 2020",
,
"Mar 18, 2020",
,
"Mar 18, 2020",
,
"Mar 19, 2020",
,
,
"Mar 19, 2020",
,
"Mar 19, 2020",
,
"Mar 20, 2020",
,
"Mar 20, 2020",
,
"Mar 21, 2020",
,
"Mar 16, 2020",
,
"Mar 16, 2020",
,
"Mar 15, 2020",
,
"Mar 16, 2020",
,
"Mar 17, 2020",
,
,
"Mar 16, 2020",
,
"Mar 17, 2020",
,
"Mar 18, 2020",
,
"Mar 18, 2020",
,
"Mar 17, 2020",
,
"Mar 11, 2020",
,
"Mar 11, 2020",
,
"Mar 11, 2020",
,
"Mar 12, 2020",
,
"Mar 12, 2020",
,
,
"Mar 13, 2020",
,
"Mar 14, 2020",
,
"Mar 14, 2020",
,
"Mar 15, 2020",
,
"Mar 15, 2020",
,
"Jan 22, 2020",
,
"Jan 27, 2020",
,
"Feb 13, 2020",
,
"Feb 20, 2020",
,
"Feb 6, 2020",
,
"Mar 3, 2020",
,
"Feb 27, 2020",
,
"Mar 6, 2020",
,
"Mar 10, 2020",
,
